leaf,Amount_Borrowed,Predict_Return,Actual_Return,Predict_Sd,Year,Node_ID
195,54800,-0.0257317524,0.212884639,0.0773489302,2010,2010195
200,25050,-0.0482529471,0.0953696172,0.0821334115,2010,2010200
201,25800,0.0501823807,0.1607530389,0.0627857752,2010,2010201
203,18800,-0.1384021449,0.208825811,0.0962067703,2010,2010203
205,38750,0.0221586127,0.1510111232,0.074914892,2010,2010205
206,27750,-0.0810307679,0.2617952768,0.0866098407,2010,2010206
207,6000,-0.1640403447,0.2435144175,0.0989416205,2010,2010207
209,16500,-0.1387634759,0.1313842428,0.1108423877,2010,2010209
210,25450,-0.269950248,0.1957436549,0.1011384953,2010,2010210
6,1277674.12,0.0681249577,0.0870978062,0.0045208055,2011,20116
7,497798.13,0.1182460771,0.1749457358,0.0125737703,2011,20117
11,475131.81,-0.0059260972,0.0177533249,0.0685204849,2011,201111
16,213552.37,0.040533736,0.0104331215,0.0287377669,2011,201116
17,302745.46,0.0739525927,-0.0386723963,0.031290919,2011,201117
18,1104741.44,0.0017719892,0.0306086523,0.086244498,2011,201118
21,1516003.94,0.0634867435,0.0508022217,0.0104376339,2011,201121
23,547947.24,0.0280558145,0.0543649376,0.0513272091,2011,201123
24,667902.37,0.0580941809,0.0179179543,0.0055184705,2011,201124
26,805854.7,0.0561638312,0.0679876001,0.0431025761,2011,201126
28,450662.1,0.0774487223,0.1084430308,0.0176792506,2011,201128
29,547273.01,0.0963526121,0.1244654944,0.0050397532,2011,201129
30,713665.91,0.0071856001,0.0787744253,0.0719489327,2011,201130
31,245913.36,-0.0072198704,0.0762270263,0.0473835924,2011,201131
36,331650.69,-0.0347951573,0.0788942238,0.0740474502,2011,201136
38,537946,0.0193247815,0.0106060039,0.0573361128,2011,201138
39,574271.14,0.0824378631,0.0588688224,0.025502719,2011,201139
41,406832.5,0.1125419595,0.0501378624,0.0172542004,2011,201141
43,558462.31,0.0466685619,0.0924147114,0.0386013164,2011,201143
44,1295084.56,0.080048538,0.0687142477,0.0076524071,2011,201144
47,279118,0.0702041612,0.0742555338,0.0029617443,2011,201147
49,854254.58,0.0608188668,0.0509144891,0.0176114172,2011,201149
50,824166.8,0.0399429279,0.0555110915,0.0334913462,2011,201150
53,865203.62,0.0560684462,0.091660815,0.0606800535,2011,201153
55,383222.71,0.0645142359,0.0984207623,0.0301605738,2011,201155
56,1339316.09,0.1003938405,0.1098194967,0.0273175389,2011,201156
59,280171.01,0.0960539216,0.1491301296,0.0377930776,2011,201159
60,846381.99,0.1259312648,0.1181419768,0.0117899344,2011,201160
62,487542.07,0.0573485615,0.1078108832,0.0552050828,2011,201162
63,656287.6,0.1082246964,0.1157906701,0.0399843593,2011,201163
70,405638.54,0.0379388741,0.0625772056,0.0284012764,2011,201170
71,679602.22,0.0731013409,0.066807013,0.0103660861,2011,201171
73,962628.31,0.0480754792,0.0823308222,0.0414878865,2011,201173
74,537648.05,-0.0080714524,0.0456172623,0.0518722783,2011,201174
75,1125115.12,0.0760595529,0.0672677228,0.0118515262,2011,201175
77,939940,0.067170148,0.040342975,0.0311774252,2011,201177
78,1030927.63,0.0988819841,0.088089012,0.0159760618,2011,201178
81,675318.46,0.035633839,0.0942514194,0.0545026709,2011,201181
82,195954.45,-0.042355603,0.0807649257,0.0789077589,2011,201182
84,958557.59,0.0709218944,0.1124859156,0.0314805367,2011,201184
85,1501071.21,0.0191691528,0.1136670931,0.0568440979,2011,201185
87,1579098.12,0.0643292724,0.0887091521,0.0229853478,2011,201187
88,426276.29,0.1002171386,0.0622401667,0.0183270051,2011,201188
89,472706.03,-0.0118697309,0.0902614898,0.0741143532,2011,201189
91,955456.37,0.140423435,0.1606348035,0.0320433684,2011,201191
97,813040.7,0.0876497503,0.1209457373,0.034722742,2011,201197
98,564011.13,0.0428508325,0.1146587479,0.0482499764,2011,201198
99,574009.4,0.0151269711,0.1155491413,0.0524809516,2011,201199
101,1351167.31,0.1119510103,0.1027297735,0.0194234529,2011,2011101
102,1805703.64,0.0566635693,0.1258167159,0.0363661363,2011,2011102
106,635970.32,0.0702169124,0.1188905924,0.0560573298,2011,2011106
107,1598728.5,0.1159239651,0.1038103187,0.0247153797,2011,2011107
108,506260.81,0.1429479246,0.1477087959,0.0169334679,2011,2011108
111,777203.9,0.0783287391,0.1242969642,0.0293007442,2011,2011111
112,520721.66,0.0286520049,0.1383566691,0.0453249467,2011,2011112
113,1011031.74,0.1088943259,0.132956037,0.0397634418,2011,2011113
114,1454483.74,0.0357157181,0.0939323462,0.0698144462,2011,2011114
118,473648.92,0.0543943313,0.0746024052,0.0245136898,2011,2011118
119,815139.27,0.0118855744,0.1207192037,0.0322741179,2011,2011119
121,694338.47,0.047926624,0.1191845608,0.0425431819,2011,2011121
122,1871969.72,0.0859660497,0.0873883682,0.0151296626,2011,2011122
125,522090.65,0.0104031849,0.1603317748,0.0641045851,2011,2011125
126,350383.1,-0.1011218592,0.147105589,0.0818914113,2011,2011126
128,515114.56,0.0846781052,0.0237395196,0.0833348028,2011,2011128
129,502954,0.0024071857,0.1226900565,0.0781234637,2011,2011129
134,16000,0.1182415081,0.2498794726,0.007514566,2011,2011134
135,27700,0.1416576972,0.243509879,0.0115277015,2011,2011135
136,18245.23,0.0631076209,0.2675097254,0.0619479036,2011,2011136
141,8891,-0.0821291455,-0.4328578369,0.1073772301,2011,2011141
142,54361.68,0.0301155959,0.0680353734,0.0516715241,2011,2011142
143,3500,-0.1192163807,0.250952534,0.0863698346,2011,2011143
