,field,pvalues,rsquared,coef,conf_low,conf_high
51,C(scorex_change)[T.Decrease 41-60 Points],1.83239798078e-09,0.450577469747,0.0559243997556,0.0376968974924,0.0741519020188
52,C(scorex_change)[T.Decrease 61-80 Points],3.08261757637e-05,0.450577469747,0.0510025618779,0.0270172789275,0.0749878448282
53,C(scorex_change)[T.Decrease 81-100 Points],0.000103373272908,0.450577469747,0.067518704263,0.0334370142253,0.101600394301
54,C(scorex_change)[T.Increase 1-20 Points],0.00530992197993,0.450577469747,-0.0155587317524,-0.0264977546098,-0.0046197088949
55,C(scorex_change)[T.Increase 101-120 Points],2.80264843883e-05,0.450577469747,-0.0803896901014,-0.117999494981,-0.0427798852216
56,C(scorex_change)[T.Increase 121+ Points],0.29632377966,0.450577469747,0.0211616920797,-0.018553934799,0.0608773189583
57,C(scorex_change)[T.Increase 21-40 Points],4.31836621293e-13,0.450577469747,-0.0453980506615,-0.0576747275813,-0.0331213737416
58,C(scorex_change)[T.Increase 41-60 Points],0.0245680856832,0.450577469747,-0.0174246936614,-0.0326157691796,-0.00223361814319
59,C(scorex_change)[T.Increase 61-80 Points],7.98499747754e-10,0.450577469747,-0.0605585380313,-0.0798683368873,-0.0412487391754
60,C(scorex_change)[T.Increase 81-100 Points],0.0981092265187,0.450577469747,-0.0229631371305,-0.0501728330669,0.00424655880591
61,C(scorex_change)[T.No Change],4.00781293268e-64,0.450577469747,-0.181582083827,-0.202588973165,-0.16057519449
62,C(fico_score)[T.620-639],0.148905454323,0.532357907162,0.038246677115,-0.013687532243,0.0901808864731
63,C(fico_score)[T.640-659],4.3105538517e-08,0.532357907162,0.125189173951,0.0803964202341,0.169981927667
64,C(fico_score)[T.660-679],4.75594167639e-08,0.532357907162,0.124669033457,0.0799199794547,0.169418087458
65,C(fico_score)[T.680-699],1.69218137423e-07,0.532357907162,0.119478052231,0.0747072091509,0.164248895312
66,C(fico_score)[T.700-719],3.25092367213e-07,0.532357907162,0.116769346618,0.0719681596331,0.161570533604
67,C(fico_score)[T.720-739],1.06844544017e-07,0.532357907162,0.12162973611,0.0767761272776,0.166483344942
68,C(fico_score)[T.740-759],3.88630414828e-08,0.532357907162,0.126097532923,0.0811300904362,0.17106497541
69,C(fico_score)[T.760-779],7.71092316909e-09,0.532357907162,0.132994965429,0.0878571119156,0.178132818943
70,C(fico_score)[T.780-799],5.40223929301e-09,0.532357907162,0.135148070456,0.0897482631492,0.180547877763
71,C(fico_score)[T.800-819],6.30179098641e-10,0.532357907162,0.144858996632,0.0989394828593,0.190778510404
72,C(fico_score)[T.820-850],2.08724736515e-09,0.532357907162,0.144106692043,0.0969628388121,0.191250545273
73,C(fico_score)[T.< 600],0.550484120849,0.532357907162,-0.0238417821171,-0.102110645948,0.0544270817136
74,C(prosper_score)[T.10.0],0.0,0.336229831157,0.607744834953,0.589808252369,0.625681417537
75,C(prosper_score)[T.11.0],0.0,0.336229831157,0.618978830933,0.600951225646,0.63700643622
76,C(prosper_score)[T.2.0],0.0,0.336229831157,0.531289511122,0.513184946591,0.549394075652
77,C(prosper_score)[T.3.0],0.0,0.336229831157,0.577567602953,0.559881599999,0.595253605907
78,C(prosper_score)[T.4.0],0.0,0.336229831157,0.579022336252,0.56176582395,0.596278848555
79,C(prosper_score)[T.5.0],0.0,0.336229831157,0.553101180967,0.535785047024,0.570417314911
80,C(prosper_score)[T.6.0],0.0,0.336229831157,0.586001741202,0.568700072923,0.603303409481
81,C(prosper_score)[T.7.0],0.0,0.336229831157,0.595696521463,0.578351054235,0.613041988691
82,C(prosper_score)[T.8.0],0.0,0.336229831157,0.609129838689,0.591795868768,0.626463808611
83,C(prosper_score)[T.9.0],0.0,0.336229831157,0.589785302762,0.572244210804,0.60732639472
84,C(listing_category_id)[T.1.0],0.0,0.373342112847,0.706074359707,0.694976161308,0.717172558105
85,C(listing_category_id)[T.10.0],4.18252314128e-54,0.373342112847,0.851229260995,0.743535872632,0.958922649357
86,C(listing_category_id)[T.11.0],0.0,0.373342112847,0.854707352455,0.816312207543,0.893102497367
87,C(listing_category_id)[T.12.0],3.08981354344e-100,0.373342112847,0.819232369874,0.743719044604,0.894745695144
88,C(listing_category_id)[T.13.0],0.0,0.373342112847,0.74834110735,0.732580886442,0.764101328258
89,C(listing_category_id)[T.14.0],0.0,0.373342112847,0.720977217859,0.70510192873,0.736852506988
90,C(listing_category_id)[T.15.0],0.0,0.373342112847,0.663954378915,0.650464588884,0.677444168945
91,C(listing_category_id)[T.16.0],0.0,0.373342112847,0.857842049905,0.82243050744,0.89325359237
92,C(listing_category_id)[T.17.0],1.43321253266e-165,0.373342112847,0.824928206062,0.766018426946,0.883837985178
93,C(listing_category_id)[T.18.0],0.0,0.373342112847,0.750869415331,0.731877000778,0.769861829883
94,C(listing_category_id)[T.19.0],0.0,0.373342112847,0.756950454393,0.73653148165,0.777369427136
95,C(listing_category_id)[T.2.0],0.0,0.373342112847,0.701847297217,0.689745485749,0.713949108684
96,C(listing_category_id)[T.20.0],0.0,0.373342112847,0.878174503328,0.852721148731,0.903627857925
97,C(listing_category_id)[T.21.0],0.0,0.373342112847,0.60825406377,0.58226670909,0.634241418451
98,C(listing_category_id)[T.3.0],0.0,0.373342112847,0.574734198289,0.561932043644,0.587536352935
99,C(listing_category_id)[T.4.0],1.09828373288e-13,0.373342112847,0.0781242019504,0.0575127831712,0.0987356207297
100,C(listing_category_id)[T.5.0],2.08878119734e-61,0.373342112847,0.269719642898,0.237755980026,0.301683305771
101,C(listing_category_id)[T.6.0],0.0,0.373342112847,0.681086576673,0.665873751995,0.696299401351
102,C(listing_category_id)[T.7.0],0.0,0.373342112847,0.685774607105,0.674012739567,0.697536474643
103,C(listing_category_id)[T.8.0],0.0,0.373342112847,0.764338289198,0.73137318079,0.797303397606
104,C(listing_category_id)[T.9.0],1.35030650462e-211,0.373342112847,0.813090142678,0.761809933019,0.864370352336
105,C(income_range)[T.1.0],0.993500111164,0.331895706085,0.00029726612174,-0.0712222622531,0.0718167944965
106,C(income_range)[T.2.0],2.31695566691e-31,0.331895706085,0.377931832176,0.314354178962,0.44150948539
107,C(income_range)[T.3.0],1.33391947467e-40,0.331895706085,0.430958380585,0.367657692673,0.494259068496
108,C(income_range)[T.4.0],2.89214300589e-50,0.331895706085,0.481525035926,0.418236688513,0.544813383339
109,C(income_range)[T.5.0],5.010103795e-55,0.331895706085,0.504889062688,0.441568676378,0.568209448998
110,C(income_range)[T.6.0],5.13357679894e-59,0.331895706085,0.523490768746,0.460169437122,0.58681210037
111,C(income_range)[T.7.0],2.7207950617e-25,0.331895706085,0.382224790067,0.310138150045,0.454311430089
112,"C(income_range_description)[T.$1-24,999]",9.9084373617e-101,0.331895706085,0.377634566053,0.342913040119,0.412356091987
113,"C(income_range_description)[T.$100,000+]",2.59188396267e-196,0.331895706085,0.523193502622,0.488920291946,0.557466713298
114,"C(income_range_description)[T.$25,000-49,999]",3.3508960677e-134,0.331895706085,0.430661114462,0.396446149702,0.464876079222
115,"C(income_range_description)[T.$50,000-74,999]",3.88916283575e-167,0.331895706085,0.481227769802,0.447026021525,0.51542951808
116,"C(income_range_description)[T.$75,000-99,999]",7.97267414941e-183,0.331895706085,0.504591796565,0.470323711598,0.538859881533
117,C(income_range_description)[T.Not displayed],0.993500111187,0.331895706085,-0.000297266120717,-0.0718167944955,0.0712222622541
118,C(income_range_description)[T.Not employed],1.62092256045e-53,0.331895706085,0.381927523945,0.33333370666,0.430521341229
